Time stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt (raw),Tbatt (℃)
0,06BF,-3.47,06A9,-1.03,070D,-12.12,070B,-11.9,0686,2.86,0E27,5529.61,0E24,5525.03,0E4C,5586.08,0D9C,5317.46,0DA9,5337.3,06,27.97,03,13.98,3E,288.99,00,0,01,4.66,A4,4.17,083C,-172.99,C2,0.69
10,06B7,-2.58,06A2,-0.25,06FF,-10.57,070D,-12.12,0687,2.75,0E36,5552.5,0CC9,4995.42,0E3E,5564.71,0E00,5470.09,0DAE,5344.93,18,111.87,00,0,38,261.02,01,4.66,01,4.66,A4,4.17,0835,-152.49,C2,0.69
20,06AB,-1.25,06A6,-0.69,06F9,-9.91,070B,-11.9,0687,2.75,0E42,5570.82,0C7F,4882.48,0E65,5624.24,0E58,5604.4,0DB1,5349.51,05,23.31,00,0,2A,195.77,13,88.56,01,4.66,A4,4.17,0839,-164.2,C2,0.69
30,06A1,-0.14,06AE,-1.58,06F6,-9.57,0701,-10.79,0687,2.75,0DB0,5347.99,0D23,5132.78,0E48,5579.98,0E53,5596.76,0DB4,5354.09,03,13.98,00,0,24,167.8,29,191.11,01,4.66,A4,4.17,083D,-175.91,C2,0.69
40,06A2,-0.25,06B3,-2.14,06F5,-9.46,06F2,-9.13,0687,2.75,0CAD,4952.69,0D89,5288.46,0E3C,5561.66,0E3F,5566.24,0DB3,5352.56,03,13.98,00,0,1D,135.17,28,186.44,01,4.66,A4,4.17,083F,-181.77,C2,0.69
50,06A7,-0.81,06B5,-2.36,06F6,-9.57,06EB,-8.35,0687,2.75,0D1B,5120.57,0DA9,5337.3,0DEE,5442.61,0DF1,5447.19,0DAB,5340.35,03,13.98,00,0,1C,130.51,27,181.78,02,9.32,A4,4.17,083E,-178.84,C2,0.69
60,06AC,-1.36,06B5,-2.36,06F9,-9.91,06EA,-8.24,0688,2.63,0D27,5138.89,0D31,5154.15,0D32,5155.68,0C71,4861.11,0D19,5117.52,0C,55.93,1E,139.83,19,116.53,00,0,09,41.95,A4,4.17,0837,-158.34,C2,0.69
70,06AF,-1.69,06AF,-1.69,06F8,-9.79,06F1,-9.02,068B,2.3,0DD1,5398.35,0E00,5470.09,0DFC,5463.98,0D7D,5270.15,0D94,5305.25,04,18.64,2A,195.77,19,116.53,00,0,01,4.66,A4,4.17,082E,-131.99,C2,0.69
80,06AF,-1.69,06A1,-0.14,06F4,-9.35,06F5,-9.46,068D,2.08,0DE1,5422.77,0E1F,5517.4,0E20,5518.93,0DD6,5405.98,0D9B,5315.93,03,13.98,1C,130.51,26,177.12,00,0,01,4.66,A4,4.17,082D,-129.06,C2,0.69
90,06AC,-1.36,0696,1.08,06EC,-8.46,06F7,-9.68,068E,1.97,0E30,5543.35,0E03,5474.66,0E37,5554.03,0DF3,5450.24,0DB0,5347.99,17,107.21,01,4.66,2C,205.09,00,0,01,4.66,A4,4.17,0832,-143.7,C2,0.69
100,06A2,-0.25,0693,1.41,06E4,-7.57,06F5,-9.46,068D,2.08,0E34,5549.45,0C98,4920.63,0E35,5550.98,0E1B,5511.29,0DC8,5384.62,15,97.88,00,0,27,181.78,05,23.31,01,4.66,A4,4.17,0834,-149.56,C2,0.69
110,0696,1.08,0699,0.75,06E2,-7.35,06EF,-8.8,068D,2.08,0E0E,5491.45,0D46,5186.2,0E2B,5535.71,0E3F,5566.24,0DD4,5402.93,04,18.64,00,0,11,79.24,2E,214.41,01,4.66,A4,4.17,0833,-146.63,C2,0.69
120,0691,1.64,069F,0.08,06EC,-8.46,06DD,-6.8,068B,2.3,0D52,5204.52,0D9F,5322.04,0CB6,4966.42,0E00,5470.09,0DD6,5405.98,03,13.98,00,0,01,4.66,3D,284.33,04,18.64,A4,4.17,082D,-129.06,C2,0.69
130,0697,0.97,06A1,-0.14,06F4,-9.35,06D5,-5.91,0687,2.75,0D1E,5125.15,0D20,5128.21,0CFD,5074.79,0D25,5135.84,0D35,5160.26,0C,55.93,0C,55.93,02,9.32,1A,121.19,1F,144.49,A4,4.17,0824,-102.71,C2,0.69
140,069A,0.64,06A1,-0.14,06FA,-10.02,06D9,-6.35,0682,3.3,0D5F,5224.36,0D6B,5242.67,0D3B,5169.41,0D10,5103.79,0D60,5225.89,0E,65.26,23,163.14,03,13.98,00,0,13,88.56,A4,4.17,0825,-105.63,C2,0.69
150,069A,0.64,069B,0.53,06FC,-10.24,06DE,-6.91,0682,3.3,0DAA,5338.83,0DCB,5389.19,0D91,5300.67,0D85,5282.36,0D83,5279.3,09,41.95,38,261.02,02,9.32,00,0,02,9.32,A4,4.17,0829,-117.35,C2,0.69
160,0698,0.86,068E,1.97,06F7,-9.68,06E3,-7.46,0684,3.08,0DC6,5381.56,0E15,5502.14,0E17,5505.19,0DBC,5366.3,0DAA,5338.83,03,13.98,17,107.21,26,177.12,00,0,01,4.66,A4,4.17,082A,-120.28,C2,0.69
170,0698,0.86,0682,3.3,06E8,-8.02,06E4,-7.57,0684,3.08,0E1F,5517.4,0DE0,5421.25,0E3C,5561.66,0DB4,5354.09,0DC9,5386.14,09,41.95,00,0,37,256.36,00,0,01,4.66,A4,4.17,082C,-126.13,C2,0.69
180,0691,1.64,0680,3.52,06DD,-6.8,06E6,-7.8,0682,3.3,0E2D,5538.77,0D55,5209.1,0E3C,5561.66,0E28,5531.14,0DD6,5405.98,0C,55.93,00,0,28,186.44,0B,51.27,01,4.66,A4,4.17,082B,-123.2,C2,0.69
190,0685,2.97,0683,3.19,06DD,-6.8,06DE,-6.91,067F,3.63,0DF9,5459.4,0D87,5285.41,0DF0,5445.67,0E1E,5515.87,0DCA,5387.67,07,32.63,00,0,04,18.64,38,261.02,02,9.32,A4,4.17,0828,-114.42,C2,0.69
200,067F,3.63,0686,2.86,06E7,-7.91,06CF,-5.24,067E,3.74,0DA3,5328.14,0D9A,5314.41,0D49,5190.78,0E04,5476.19,0DEB,5438.03,03,13.98,00,0,01,4.66,37,256.36,09,41.95,A4,4.17,0823,-99.78,C2,0.69
210,0681,3.41,0687,2.75,06EC,-8.46,06C6,-4.25,0677,4.52,0D8E,5296.09,0D86,5283.88,0D64,5231.99,0DA4,5329.67,0DA0,5323.57,09,41.95,02,9.32,01,4.66,21,153.82,16,102.54,A4,4.17,081F,-88.06,C2,0.69
220,0683,3.19,068A,2.41,06F2,-9.13,06CA,-4.69,066E,5.52,0C4F,4809.22,0C56,4819.9,0C1B,4729.85,0C20,4737.48,0C4D,4806.17,1C,130.51,22,158.48,02,9.32,03,13.98,13,88.56,A4,4.17,0820,-90.99,C2,0.69
230,0684,3.08,0689,2.52,06F2,-9.13,06CD,-5.02,066E,5.52,0D77,5260.99,0D81,5276.25,0D7B,5267.09,0D2E,5149.57,0D6B,5242.67,0E,65.26,24,167.8,15,97.88,00,0,08,37.29,A4,4.17,0822,-96.85,C2,0.69
240,0685,2.97,0682,3.3,06DF,-7.02,06D4,-5.8,066F,5.41,0DAF,5346.46,0DCC,5390.72,0E3D,5563.19,0CE9,5044.26,0DBD,5367.83,03,13.98,00,0,3B,275,00,0,01,4.66,A4,4.17,082C,-126.13,C2,0.69
250,0685,2.97,067F,3.63,06CE,-5.13,06D9,-6.35,066F,5.41,0DD1,5398.35,0D94,5305.25,0E40,5567.77,0E16,5503.66,0DB5,5355.62,03,13.98,00,0,36,251.7,03,13.98,01,4.66,A4,4.17,082D,-129.06,C2,0.69
260,0685,2.97,0680,3.52,06C6,-4.25,06D3,-5.69,0670,5.3,0DDE,5418.19,0D9C,5317.46,0E36,5552.5,0E3B,5560.13,0DA7,5334.25,03,13.98,00,0,19,116.53,21,153.82,01,4.66,A4,4.17,0827,-111.49,C2,0.69
270,0682,3.3,0680,3.52,06CA,-4.69,06C6,-4.25,0671,5.19,0D99,5312.88,0D98,5311.36,0DD1,5398.35,0E07,5480.77,0DA1,5325.09,03,13.98,00,0,02,9.32,3B,275,01,4.66,A4,4.17,0821,-93.92,C2,0.69
280,0681,3.41,0682,3.3,06D3,-5.69,06B9,-2.8,0671,5.19,0D91,5300.67,0D8F,5297.62,0CF4,5061.05,0DDE,5418.19,0D9E,5320.51,03,13.98,00,0,01,4.66,3B,275,02,9.32,A4,4.17,081E,-85.14,C2,0.69
290,0685,2.97,0684,3.08,06D8,-6.24,06B3,-2.14,0672,5.08,0D71,5251.83,0D75,5257.94,0D5A,5216.73,0D96,5308.3,0D73,5254.88,05,23.31,03,13.98,01,4.66,34,242.38,05,23.31,A4,4.17,081D,-82.21,C2,0.69
300,0687,2.75,0687,2.75,06D9,-6.35,06AC,-1.36,0673,4.97,0D71,5251.83,0D86,5283.88,0DB1,5349.51,0DAA,5338.83,0D7F,5273.2,03,13.98,01,4.66,1C,130.51,1D,135.17,03,13.98,A4,4.17,0824,-102.71,C2,0.69
310,068A,2.41,0688,2.63,06D1,-5.47,06AC,-1.36,0674,4.85,0D70,5250.31,0D9B,5315.93,0E07,5480.77,0DF4,5451.77,0D79,5264.04,03,13.98,00,0,2D,209.75,0C,55.93,01,4.66,A4,4.17,082B,-123.2,C2,0.69
320,068F,1.86,0687,2.75,06C2,-3.8,06A8,-0.92,0678,4.41,0D8D,5294.57,0D8C,5293.04,0E33,5547.92,0E1F,5517.4,0D5F,5224.36,03,13.98,00,0,28,186.44,0C,55.93,01,4.66,A4,4.17,0828,-114.42,C2,0.69
330,0693,1.41,068F,1.86,06A9,-1.03,0689,2.52,067F,3.63,0D36,5161.78,0D57,5212.15,0E07,5480.77,0E02,5473.14,0DAE,5344.93,03,13.98,00,0,20,149.16,1B,125.85,01,4.66,A4,4.17,0821,-93.92,C2,0.69
340,0696,1.08,0694,1.3,06A8,-0.92,0681,3.41,067E,3.74,0CB9,4971,0D79,5264.04,0DE6,5430.4,0DEB,5438.03,0D91,5300.67,03,13.98,00,0,16,102.54,26,177.12,01,4.66,A4,4.17,082A,-120.28,C2,0.69
350,069B,0.53,0694,1.3,06AA,-1.14,0677,4.52,067E,3.74,0CED,5050.37,0D90,5299.15,0DB7,5358.67,0DD3,5401.4,0D5B,5218.25,03,13.98,00,0,0B,51.27,31,228.39,01,4.66,A4,4.17,082C,-126.13,C2,0.69
360,06A0,-0.03,0693,1.41,06AD,-1.47,066F,5.41,0682,3.3,0D64,5231.99,0D92,5302.2,0DAA,5338.83,0DBF,5370.88,0D17,5114.47,03,13.98,01,4.66,10,74.58,2A,195.77,01,4.66,A4,4.17,0827,-111.49,C2,0.69
370,06A5,-0.58,0692,1.53,06A9,-1.03,066C,5.74,0687,2.75,0DA0,5323.57,0D8E,5296.09,0DD5,5404.46,0DC1,5373.93,0D3F,5175.52,04,18.64,00,0,2A,195.77,0D,60.59,01,4.66,A4,4.17,0821,-93.92,C2,0.69
380,06A5,-0.58,0692,1.53,06A1,-0.14,066C,5.74,0689,2.52,0DB3,5352.56,0D80,5274.73,0DEB,5438.03,0DBD,5367.83,0D6C,5244.2,04,18.64,00,0,34,242.38,01,4.66,01,4.66,A4,4.17,081D,-82.21,C2,0.69
390,06A4,-0.47,0694,1.3,068E,1.97,066D,5.63,068C,2.19,0DC6,5381.56,0D47,5187.73,0E03,5474.66,0DA8,5335.78,0DBB,5364.77,03,13.98,00,0,36,251.7,00,0,02,9.32,A4,4.17,0821,-93.92,C2,0.69
400,069F,0.08,069B,0.53,0686,2.86,0670,5.3,0689,2.52,0DF7,5456.35,0D5A,5216.73,0DF0,5445.67,0DE9,5434.98,0DC3,5376.98,1F,144.49,00,0,17,107.21,10,74.58,02,9.32,A4,4.17,0826,-108.56,C2,0.69
410,0697,0.97,069C,0.42,068B,2.3,0668,6.19,0687,2.75,0DB7,5358.67,0D8C,5293.04,0D57,5212.15,0DC3,5376.98,0D9A,5314.41,16,102.54,00,0,01,4.66,32,233.06,04,18.64,A4,4.17,0828,-114.42,C2,0.69
420,0695,1.19,069C,0.42,0694,1.3,065F,7.18,0689,2.52,0CDB,5022.89,0D99,5312.88,0D2F,5151.1,0DB7,5358.67,0D84,5280.83,03,13.98,05,23.31,01,4.66,33,237.72,03,13.98,A4,4.17,0826,-108.56,C2,0.69
