Time stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt (raw),Tbatt (℃)
0,06CF,-5.24,06B5,-2.36,072E,-15.79,071E,-14.01,06F8,-9.79,0365,1326.31,0874,3302.81,09BA,3800.37,0C95,4916.06,0CD6,5015.26,03,13.98,00,0,01,4.66,0A,46.61,22,158.48,A2,4.12,07FC,14.43,B3,6.43
10,06D4,-5.8,06BC,-3.14,072E,-15.79,071B,-13.68,06F3,-9.24,037F,1366,041D,1607.14,09D4,3840.05,0B8B,4510.07,0DF9,5459.4,03,13.98,00,0,01,4.66,19,116.53,2D,209.75,A2,4.12,0822,-96.85,B3,6.43
20,06DA,-6.46,06C2,-3.8,072E,-15.79,0715,-13.01,06EC,-8.46,03ED,1533.88,0392,1394.99,0707,2745.73,0D12,5106.84,0D1B,5120.57,03,13.98,00,0,01,4.66,24,167.8,35,247.04,A4,4.17,0857,-252.05,B3,6.43
30,06DF,-7.02,06C9,-4.58,0730,-16.01,0710,-12.46,06E1,-7.24,076D,2901.4,0370,1343.1,045E,1706.35,0DA8,5335.78,0DAD,5343.41,02,9.32,00,0,01,4.66,27,181.78,2B,200.43,A4,4.17,0853,-240.34,B3,6.43
40,06E3,-7.46,06CE,-5.13,072F,-15.9,0708,-11.57,06D4,-5.8,0AFD,4293.35,0366,1327.84,03EB,1530.83,0DBF,5370.88,0DCE,5393.77,03,13.98,00,0,01,4.66,28,186.44,26,177.12,A4,4.17,084A,-213.98,B3,6.43
50,06E7,-7.91,06D2,-5.58,0730,-16.01,0704,-11.13,06CA,-4.69,0B9B,4534.49,035A,1309.52,03FC,1556.78,0DC5,5380.04,0DCE,5393.77,02,9.32,00,0,01,4.66,28,186.44,25,172.46,A4,4.17,0845,-199.34,B3,6.43
60,06EC,-8.46,06DA,-6.46,0732,-16.23,06FA,-10.02,06B5,-2.36,0DE7,5431.93,0354,1300.37,0710,2759.46,0DEB,5438.03,0DF3,5450.24,12,83.9,00,0,01,4.66,20,149.16,1C,130.51,A4,4.17,083E,-178.84,B3,6.43
70,06EA,-8.24,06E1,-7.24,0733,-16.34,06F2,-9.13,06A1,-0.14,0E27,5529.61,0351,1295.79,0B3B,4387.97,0E13,5499.08,0E12,5497.56,27,181.78,00,0,01,4.66,12,83.9,10,74.58,A4,4.17,083A,-167.13,B3,6.43
80,06E2,-7.35,06E7,-7.91,0735,-16.56,06ED,-8.57,0695,1.19,0E26,5528.08,034E,1291.21,0BF7,4674.91,0E0D,5489.93,0E12,5497.56,33,237.72,00,0,01,4.66,0A,46.61,0A,46.61,A4,4.17,0837,-158.34,B3,6.43
90,06D7,-6.13,06EC,-8.46,0736,-16.67,06E7,-7.91,068E,1.97,0E18,5506.72,034E,1291.21,0C6A,4850.43,0DE9,5434.98,0DF6,5454.82,3F,293.65,00,0,01,4.66,04,18.64,08,37.29,A4,4.17,0837,-158.34,B3,6.43
100,06C9,-4.58,06F1,-9.02,0738,-16.9,06E6,-7.8,068A,2.41,0E04,5476.19,0378,1355.31,0CBE,4978.63,0D90,5299.15,0DD5,5404.46,44,316.95,00,0,01,4.66,00,0,06,27.97,A4,4.17,0835,-152.49,B3,6.43
110,06BA,-2.91,06F6,-9.57,0738,-16.9,06E7,-7.91,0689,2.52,0DF5,5453.3,0CC8,4993.89,0CFD,5074.79,0CE4,5036.63,0DBD,5367.83,47,330.94,00,0,01,4.66,00,0,04,18.64,A4,4.17,0833,-146.63,B3,6.43
120,06AA,-1.14,06F9,-9.91,0739,-17.01,06E9,-8.13,068A,2.41,0DF0,5445.67,0DCF,5395.3,0D2B,5144.99,0CAD,4952.69,0DAB,5340.35,41,302.97,06,27.97,01,4.66,00,0,02,9.32,A4,4.17,0833,-146.63,B3,6.43
130,069B,0.53,06F9,-9.91,0739,-17.01,06EC,-8.46,068D,2.08,0DFF,5468.56,0DF3,5450.24,0D4B,5193.83,0C70,4859.58,0DA5,5331.2,32,233.06,15,97.88,01,4.66,00,0,01,4.66,A4,4.17,0834,-149.56,B3,6.43
140,068B,2.3,06F5,-9.46,0737,-16.79,06EE,-8.68,068F,1.86,0E07,5480.77,0E07,5480.77,0D60,5225.89,0C2E,4758.85,0DA8,5335.78,24,167.8,20,149.16,01,4.66,00,0,01,4.66,A4,4.17,0833,-146.63,B3,6.43
150,067D,3.86,06EE,-8.68,0738,-16.9,06F1,-9.02,0692,1.53,0E00,5470.09,0E0E,5491.45,0D72,5253.36,0BDF,4638.28,0DAB,5340.35,18,111.87,2D,209.75,01,4.66,00,0,01,4.66,A4,4.17,0833,-146.63,B3,6.43
