Time stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt (raw),Tbatt (℃)
0,0676,4.63,0668,6.19,06C3,-3.91,06A7,-0.81,0655,8.29,0365,1326.31,0342,1272.89,034C,1288.16,0360,1318.68,0348,1282.05,03,13.98,00,0,01,4.66,00,0,02,9.32,A1,4.1,07A1,280.91,A9,10.26
11.3,0679,4.3,066A,5.96,06C4,-4.02,06AB,-1.25,0659,7.85,0365,1326.31,0342,1272.89,034C,1288.16,0360,1318.68,0348,1282.05,03,13.98,00,0,01,4.66,00,0,01,4.66,A1,4.1,079D,292.62,A9,10.26
22.6,067F,3.63,066F,5.41,06C7,-4.36,06AE,-1.58,065E,7.3,0365,1326.31,0342,1272.89,034C,1288.16,0361,1320.21,0348,1282.05,03,13.98,00,0,01,4.66,00,0,01,4.66,A1,4.1,0789,351.19,A9,10.26
33.9,0683,3.19,0671,5.19,06CA,-4.69,06B2,-2.03,0662,6.85,0365,1326.31,0342,1272.89,034B,1286.63,0360,1318.68,0348,1282.05,03,13.98,00,0,02,9.32,00,0,02,9.32,A1,4.1,0798,307.26,A9,10.26
45.2,0688,2.63,0673,4.97,06CD,-5.02,06B5,-2.36,0665,6.52,0365,1326.31,0341,1271.37,034B,1286.63,0360,1318.68,0348,1282.05,03,13.98,00,0,01,4.66,00,0,01,4.66,A1,4.1,07A9,257.48,A9,10.26
56.5,068C,2.19,0676,4.63,06CF,-5.24,06B5,-2.36,0669,6.08,0365,1326.31,0341,1271.37,034A,1285.1,0361,1320.21,0347,1280.53,03,13.98,00,0,01,4.66,00,0,01,4.66,A1,4.1,07A2,277.98,A9,10.26
67.8,0691,1.64,067A,4.19,06D1,-5.47,06B8,-2.69,066B,5.85,0365,1326.31,0340,1269.84,034A,1285.1,0360,1318.68,0348,1282.05,03,13.98,00,0,02,9.32,00,0,01,4.66,A1,4.1,07A1,280.91,A9,10.26
79.1,0695,1.19,067F,3.63,06D5,-5.91,06BB,-3.02,066D,5.63,0365,1326.31,0340,1269.84,034A,1285.1,0360,1318.68,0348,1282.05,03,13.98,00,0,01,4.66,00,0,01,4.66,A1,4.1,07A1,280.91,A9,10.26
90.4,0699,0.75,0683,3.19,06D7,-6.13,06BC,-3.14,066F,5.41,0365,1326.31,0340,1269.84,034A,1285.1,035F,1317.16,0348,1282.05,03,13.98,00,0,01,4.66,00,0,02,9.32,A1,4.1,07A3,275.05,A9,10.26
101.7,069D,0.3,0687,2.75,06D9,-6.35,06BD,-3.25,0671,5.19,0364,1324.79,0340,1269.84,034B,1286.63,035F,1317.16,0347,1280.53,03,13.98,00,0,01,4.66,00,0,02,9.32,A1,4.1,07A1,280.91,A9,10.26
113,06A0,-0.03,068C,2.19,06DC,-6.69,06BF,-3.47,0673,4.97,0365,1326.31,0340,1269.84,034A,1285.1,035F,1317.16,0347,1280.53,03,13.98,00,0,01,4.66,00,0,02,9.32,A1,4.1,07A1,280.91,A9,10.26
124.3,06A1,-0.14,0690,1.75,06DE,-6.91,06C3,-3.91,0675,4.74,0364,1324.79,0340,1269.84,034A,1285.1,035E,1315.63,0346,1279,03,13.98,00,0,01,4.66,00,0,02,9.32,A1,4.1,07A1,280.91,A9,10.26
135.6,06A4,-0.47,0694,1.3,06E2,-7.35,06C5,-4.13,0679,4.3,0364,1324.79,033F,1268.32,034A,1285.1,035D,1314.1,0346,1279,03,13.98,00,0,02,9.32,00,0,01,4.66,A0,4.07,079B,298.48,A9,10.26
146.9,06A5,-0.58,0697,0.97,06E4,-7.57,06C6,-4.25,067C,3.97,0363,1323.26,033F,1268.32,0349,1283.58,035E,1315.63,0346,1279,03,13.98,00,0,02,9.32,00,0,02,9.32,A0,4.07,0795,316.05,A9,10.26
158.2,06A7,-0.81,0697,0.97,06E5,-7.69,06C9,-4.58,067F,3.63,0363,1323.26,033F,1268.32,0349,1283.58,035E,1315.63,0346,1279,03,13.98,00,0,02,9.32,00,0,01,4.66,A1,4.1,07A2,277.98,A9,10.26
169.5,06AA,-1.14,0699,0.75,06E6,-7.8,06CC,-4.91,0683,3.19,0363,1323.26,033F,1268.32,0348,1282.05,035E,1315.63,0346,1279,03,13.98,00,0,01,4.66,00,0,01,4.66,A1,4.1,07A0,283.84,A9,10.26
180.8,06AD,-1.47,069A,0.64,06E8,-8.02,06CE,-5.13,0685,2.97,0363,1323.26,033F,1268.32,0348,1282.05,035E,1315.63,0346,1279,03,13.98,00,0,01,4.66,00,0,01,4.66,A1,4.1,07A2,277.98,A9,10.26
192.1,06AF,-1.69,069B,0.53,06E9,-8.13,06D1,-5.47,0688,2.63,0363,1323.26,033F,1268.32,0348,1282.05,035F,1317.16,0346,1279,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,07A4,272.12,A9,10.26
203.4,06B5,-2.36,069D,0.3,06EC,-8.46,06D2,-5.58,068B,2.3,0363,1323.26,033E,1266.79,0347,1280.53,035E,1315.63,0346,1279,03,13.98,00,0,02,9.32,00,0,01,4.66,A1,4.1,07A0,283.84,AA,9.88
214.7,06B8,-2.69,06A0,-0.03,06EF,-8.8,06D4,-5.8,068D,2.08,0363,1323.26,033E,1266.79,0348,1282.05,035E,1315.63,0346,1279,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,079E,289.69,A9,10.26
226,06BC,-3.14,06A4,-0.47,06F2,-9.13,06D7,-6.13,068F,1.86,0363,1323.26,033E,1266.79,0348,1282.05,035D,1314.1,0345,1277.47,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,07A2,277.98,AA,9.88
237.3,06BF,-3.47,06A6,-0.69,06F5,-9.46,06D8,-6.24,0690,1.75,0363,1323.26,033E,1266.79,0347,1280.53,035D,1314.1,0346,1279,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,07A1,280.91,AA,9.88
248.6,06C3,-3.91,06AC,-1.36,06FA,-10.02,06DA,-6.46,0691,1.64,0363,1323.26,033D,1265.26,0348,1282.05,035D,1314.1,0345,1277.47,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,0798,307.26,AA,9.88
259.9,06C5,-4.13,06B0,-1.8,06FB,-10.13,06DB,-6.58,0691,1.64,0363,1323.26,033D,1265.26,0347,1280.53,035C,1312.58,0345,1277.47,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0786,359.98,AA,9.88
271.2,06C5,-4.13,06B3,-2.14,06FC,-10.24,06DB,-6.58,0694,1.3,0363,1323.26,033D,1265.26,0347,1280.53,035C,1312.58,0345,1277.47,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,079E,289.69,AA,9.88
282.5,06C5,-4.13,06B5,-2.36,06FD,-10.35,06DE,-6.91,0696,1.08,0362,1321.73,033D,1265.26,0347,1280.53,035C,1312.58,0344,1275.95,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,07A1,280.91,AA,9.88
293.8,06C7,-4.36,06B8,-2.69,06FF,-10.57,06DF,-7.02,0698,0.86,0362,1321.73,033D,1265.26,0347,1280.53,035B,1311.05,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,07A2,277.98,AA,9.88
305.1,06C7,-4.36,06B7,-2.58,0701,-10.79,06E2,-7.35,069B,0.53,0362,1321.73,033D,1265.26,0346,1279,035C,1312.58,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,07A1,280.91,AA,9.88
316.4,06C9,-4.58,06B8,-2.69,0702,-10.9,06E4,-7.57,069E,0.19,0362,1321.73,033E,1266.79,0346,1279,035C,1312.58,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,07A0,283.84,AA,9.88
327.7,06CA,-4.69,06B9,-2.8,0704,-11.13,06E7,-7.91,06A1,-0.14,0361,1320.21,033C,1263.74,0346,1279,035C,1312.58,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,07A0,283.84,AA,9.88
339,06CD,-5.02,06B8,-2.69,0704,-11.13,06E9,-8.13,06A3,-0.36,0361,1320.21,033D,1265.26,0346,1279,035C,1312.58,0344,1275.95,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,07A1,280.91,AA,9.88
350.3,06D1,-5.47,06B9,-2.8,0707,-11.46,06EB,-8.35,06A7,-0.81,0361,1320.21,033C,1263.74,0346,1279,035B,1311.05,0344,1275.95,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,0793,321.91,AA,9.88
361.6,06D5,-5.91,06BB,-3.02,070A,-11.79,06ED,-8.57,06A8,-0.92,0361,1320.21,033B,1262.21,0346,1279,035C,1312.58,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,07A6,266.27,AA,9.88
372.9,06D9,-6.35,06BE,-3.36,070D,-12.12,06EF,-8.8,06A9,-1.03,0361,1320.21,033C,1263.74,0346,1279,035B,1311.05,0344,1275.95,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,0787,357.05,AA,9.88
384.2,06DC,-6.69,06C1,-3.69,070E,-12.24,06F0,-8.91,06A9,-1.03,0362,1321.73,033B,1262.21,0345,1277.47,035B,1311.05,0343,1274.42,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,07A2,277.98,AA,9.88
395.5,06DC,-6.69,06C3,-3.91,0710,-12.46,06F0,-8.91,06A9,-1.03,0361,1320.21,033C,1263.74,0346,1279,035B,1311.05,0344,1275.95,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,07A2,277.98,AA,9.88
406.8,06DE,-6.91,06C7,-4.36,0713,-12.79,06F1,-9.02,06AA,-1.14,0361,1320.21,033C,1263.74,0345,1277.47,035A,1309.52,0343,1274.42,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,07A1,280.91,AA,9.88
418.1,06E0,-7.13,06CB,-4.8,0714,-12.9,06F2,-9.13,06AA,-1.14,0361,1320.21,033B,1262.21,0345,1277.47,035A,1309.52,0343,1274.42,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,07A0,283.84,AA,9.88
429.4,06E0,-7.13,06CD,-5.02,0716,-13.12,06F4,-9.35,06AC,-1.36,0361,1320.21,033C,1263.74,0345,1277.47,035A,1309.52,0344,1275.95,03,13.98,00,0,02,9.32,00,0,02,9.32,A0,4.07,07A1,280.91,AA,9.88
440.7,06E0,-7.13,06CF,-5.24,0718,-13.35,06F5,-9.46,06AD,-1.47,0361,1320.21,033B,1262.21,0345,1277.47,035A,1309.52,0343,1274.42,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,079F,286.77,AB,9.5
452,06E1,-7.24,06D1,-5.47,0719,-13.46,06F7,-9.68,06B0,-1.8,0361,1320.21,033B,1262.21,0345,1277.47,035B,1311.05,0343,1274.42,03,13.98,00,0,01,4.66,00,0,02,9.32,A0,4.07,079F,286.77,AA,9.88
463.3,06E0,-7.13,06D1,-5.47,071B,-13.68,06FB,-10.13,06B4,-2.25,0360,1318.68,033B,1262.21,0345,1277.47,035B,1311.05,0343,1274.42,03,13.98,00,0,02,9.32,00,0,02,9.32,A0,4.07,078B,345.33,AB,9.5
474.6,06E2,-7.35,06D0,-5.36,071D,-13.9,06FD,-10.35,06B6,-2.47,0361,1320.21,033B,1262.21,0344,1275.95,035B,1311.05,0343,1274.42,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,079A,301.41,AB,9.5
485.9,06E5,-7.69,06D0,-5.36,071E,-14.01,06FF,-10.57,06B9,-2.8,0360,1318.68,033B,1262.21,0344,1275.95,035A,1309.52,0343,1274.42,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,079D,292.62,AB,9.5
497.2,06E7,-7.91,06D0,-5.36,071F,-14.12,0700,-10.68,06BC,-3.14,0361,1320.21,033A,1260.68,0344,1275.95,035A,1309.52,0342,1272.89,03,13.98,00,0,01,4.66,00,0,01,4.66,A0,4.07,07A0,283.84,AB,9.5
508.5,06EA,-8.24,06D2,-5.58,0721,-14.34,0702,-10.9,06BD,-3.25,0361,1320.21,033B,1262.21,0344,1275.95,035A,1309.52,0342,1272.89,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,07A2,277.98,AB,9.5
519.8,06EE,-8.68,06D4,-5.8,0723,-14.57,0704,-11.13,06BF,-3.47,0360,1318.68,033A,1260.68,0344,1275.95,0359,1308,0343,1274.42,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,079E,289.69,AB,9.5
531.1,06F1,-9.02,06D7,-6.13,0725,-14.79,0705,-11.24,06BF,-3.47,0360,1318.68,033A,1260.68,0344,1275.95,0359,1308,0342,1272.89,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,07A1,280.91,AB,9.5
542.4,06F4,-9.35,06D9,-6.35,0728,-15.12,0706,-11.35,06BF,-3.47,035F,1317.16,033A,1260.68,0344,1275.95,0359,1308,0343,1274.42,03,13.98,00,0,01,4.66,01,4.66,01,4.66,9F,4.04,079F,286.77,AB,9.5
553.7,06F6,-9.57,06DD,-6.8,072A,-15.34,0707,-11.46,06C0,-3.58,0360,1318.68,0339,1259.16,0344,1275.95,035A,1309.52,0342,1272.89,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,079F,286.77,AB,9.5
565,06F7,-9.68,06DF,-7.02,072B,-15.45,0708,-11.57,06C1,-3.69,0360,1318.68,033A,1260.68,0344,1275.95,0359,1308,0342,1272.89,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,07A0,283.84,AB,9.5
576.3,06FA,-10.02,06E4,-7.57,072E,-15.79,070A,-11.79,06C2,-3.8,0360,1318.68,033A,1260.68,0344,1275.95,0359,1308,0342,1272.89,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,079E,289.69,AB,9.5
587.6,06F8,-9.79,06E6,-7.8,072F,-15.9,070A,-11.79,06C4,-4.02,0360,1318.68,033B,1262.21,0343,1274.42,0359,1308,0342,1272.89,03,13.98,00,0,02,9.32,00,0,01,4.66,9F,4.04,0784,365.83,AB,9.5
598.9,06F9,-9.91,06E7,-7.91,0730,-16.01,070B,-11.9,06C5,-4.13,0360,1318.68,033A,1260.68,0343,1274.42,0359,1308,0342,1272.89,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,079C,295.55,AB,9.5
610.2,06FA,-10.02,06E8,-8.02,0731,-16.12,070E,-12.24,06C9,-4.58,0360,1318.68,033A,1260.68,0343,1274.42,035A,1309.52,0342,1272.89,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,079E,289.69,AB,9.5
621.5,06FB,-10.13,06E9,-8.13,0733,-16.34,0710,-12.46,06CC,-4.91,0360,1318.68,033A,1260.68,0343,1274.42,0359,1308,0342,1272.89,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,079F,286.77,AB,9.5
632.8,06FD,-10.35,06EA,-8.24,0733,-16.34,0712,-12.68,06CF,-5.24,0360,1318.68,033A,1260.68,0343,1274.42,035A,1309.52,0341,1271.37,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,079F,286.77,AB,9.5
644.1,06FF,-10.57,06EA,-8.24,0734,-16.45,0714,-12.9,06D1,-5.47,0360,1318.68,033A,1260.68,0343,1274.42,0359,1308,0342,1272.89,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,079D,292.62,AC,9.11
655.4,0701,-10.79,06EB,-8.35,0737,-16.79,0716,-13.12,06D4,-5.8,0360,1318.68,033A,1260.68,0343,1274.42,0359,1308,0342,1272.89,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,07A1,280.91,AC,9.11
666.7,0704,-11.13,06ED,-8.57,0738,-16.9,0718,-13.35,06D7,-6.13,0360,1318.68,0339,1259.16,0344,1275.95,0359,1308,0342,1272.89,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,07A0,283.84,AC,9.11
678,070A,-11.79,06F2,-9.13,073C,-17.34,071A,-13.57,06D9,-6.35,035F,1317.16,0339,1259.16,0343,1274.42,0358,1306.47,0341,1271.37,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,079C,295.55,AC,9.11
689.3,070C,-12.01,06F5,-9.46,073E,-17.56,0719,-13.46,06DB,-6.58,035F,1317.16,033A,1260.68,0343,1274.42,0358,1306.47,0342,1272.89,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,0786,359.98,AC,9.11
700.6,070E,-12.24,06F7,-9.68,073F,-17.67,0719,-13.46,06DB,-6.58,035F,1317.16,033A,1260.68,0343,1274.42,0358,1306.47,0342,1272.89,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,079F,286.77,AC,9.11
711.9,0710,-12.46,06FA,-10.02,0741,-17.9,071A,-13.57,06DB,-6.58,035F,1317.16,0339,1259.16,0342,1272.89,0358,1306.47,0341,1271.37,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,07A0,283.84,AC,9.11
723.2,0710,-12.46,06FE,-10.46,0741,-17.9,071C,-13.79,06DD,-6.8,035F,1317.16,0339,1259.16,0343,1274.42,0358,1306.47,0341,1271.37,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,079E,289.69,AC,9.11
734.5,070E,-12.24,06FF,-10.57,0744,-18.23,071B,-13.68,06DE,-6.91,035F,1317.16,0339,1259.16,0342,1272.89,0358,1306.47,0341,1271.37,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,079D,292.62,AC,9.11
745.8,070E,-12.24,0702,-10.9,0745,-18.34,071D,-13.9,06E0,-7.13,035F,1317.16,0338,1257.63,0341,1271.37,0359,1308,0341,1271.37,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,079E,289.69,AC,9.11
757.1,070D,-12.12,0703,-11.01,0748,-18.67,071E,-14.01,06E3,-7.46,035F,1317.16,0339,1259.16,0341,1271.37,0358,1306.47,0341,1271.37,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,07A1,280.91,AC,9.11
768.4,070E,-12.24,0702,-10.9,0746,-18.45,0721,-14.34,06E6,-7.8,0360,1318.68,0339,1259.16,0341,1271.37,0359,1308,0341,1271.37,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,079F,286.77,AC,9.11
779.7,070E,-12.24,0701,-10.79,0747,-18.56,0722,-14.45,06E9,-8.13,035F,1317.16,0339,1259.16,0342,1272.89,0359,1308,0341,1271.37,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,079D,292.62,AC,9.11
791,0711,-12.57,0700,-10.68,0747,-18.56,0725,-14.79,06EC,-8.46,035F,1317.16,0339,1259.16,0342,1272.89,0359,1308,0341,1271.37,03,13.98,00,0,01,4.66,00,0,02,9.32,9F,4.04,07A0,283.84,AD,8.73
802.3,0712,-12.68,0700,-10.68,0749,-18.78,0728,-15.12,06EE,-8.68,035F,1317.16,0339,1259.16,0342,1272.89,0358,1306.47,0341,1271.37,03,13.98,00,0,01,4.66,00,0,02,9.32,9E,4.02,0798,307.26,AD,8.73
813.6,0716,-13.12,0700,-10.68,074A,-18.89,0728,-15.12,06F1,-9.02,035F,1317.16,0338,1257.63,0342,1272.89,0358,1306.47,0341,1271.37,03,13.98,00,0,01,4.66,00,0,01,4.66,9F,4.04,079D,292.62,AD,8.73
