Time stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt (raw),Tbatt (℃)
0,0643,10.29,0619,14.95,06AA,-1.14,069A,0.64,0574,33.26,0C31,4763.43,0CC0,4981.68,0CA6,4942,0CA0,4932.84,0CB2,4960.32,03,13.98,1F,144.49,06,27.97,04,18.64,08,37.29,A5,4.2,080D,-35.35,B9,4.13
10,0649,9.63,0618,15.06,06A9,-1.03,069D,0.3,057A,32.6,0BCC,4609.28,0D64,5231.99,0D3A,5167.89,0D22,5131.26,0C0D,4708.49,03,13.98,2A,195.77,03,13.98,00,0,01,4.66,A5,4.2,080A,-26.57,B9,4.13
20,064E,9.07,060E,16.17,06A8,-0.92,06A0,-0.03,0585,31.38,0B63,4449.02,0D93,5303.72,0D7A,5265.57,0D20,5128.21,0A65,4061.36,03,13.98,23,163.14,0A,46.61,00,0,01,4.66,A4,4.17,0808,-20.71,B9,4.13
30,0655,8.29,0600,17.73,06A3,-0.36,06A3,-0.36,0591,30.05,0DB1,5349.51,0DA9,5337.3,0DB6,5357.14,0D04,5085.47,09E4,3864.47,0F,69.92,09,41.95,18,111.87,00,0,01,4.66,A5,4.2,0806,-14.85,B9,4.13
40,0652,8.63,05F6,18.84,069C,0.42,06A6,-0.69,059D,28.71,0DE1,5422.77,0D70,5250.31,0DD4,5402.93,0CF2,5058,0505,1961.23,1D,135.17,00,0,12,83.9,00,0,01,4.66,A5,4.2,0804,-9,B9,4.13
50,0646,9.96,05F3,19.17,0699,0.75,06A8,-0.92,05A8,27.49,0DCD,5392.25,0C0E,4710.01,0DA4,5329.67,0D05,5087,035E,1315.63,2B,200.43,00,0,05,23.31,00,0,01,4.66,A5,4.2,0805,-11.93,B9,4.13
60,062F,12.51,05FB,18.28,069A,0.64,06A7,-0.81,05B5,26.05,0DC1,5373.93,0BA8,4554.33,0D85,5282.36,0DBD,5367.83,0D25,5135.84,1C,130.51,00,0,01,4.66,21,153.82,01,4.66,A4,4.17,0807,-17.78,B8,4.52
70,0622,13.95,0607,16.95,069B,0.53,069F,0.08,05B6,25.94,0D9C,5317.46,0AFB,4290.29,0D71,5251.83,0DD3,5401.4,0D79,5264.04,04,18.64,00,0,01,4.66,27,181.78,02,9.32,A5,4.2,0808,-20.71,B8,4.52
80,061E,14.4,0611,15.84,069D,0.3,0694,1.3,05AE,26.83,0C69,4848.9,07EB,3093.71,0D3E,5173.99,0D87,5285.41,0D6D,5245.73,03,13.98,00,0,01,4.66,29,191.11,06,27.97,A5,4.2,0809,-23.64,B8,4.52
90,0623,13.84,061B,14.73,06A0,-0.03,0690,1.75,05A3,28.05,0C18,4725.27,04E4,1910.87,0C8E,4905.37,0CB3,4961.84,0CBF,4980.16,03,13.98,00,0,03,13.98,11,79.24,1D,135.17,A4,4.17,0806,-14.85,B8,4.52
100,0629,13.18,0622,13.95,06A3,-0.36,0690,1.75,059C,28.82,0B9A,4532.97,0CA2,4935.9,0C7B,4876.37,0C8B,4900.79,0CA3,4937.42,03,13.98,11,79.24,03,13.98,06,27.97,17,107.21,A5,4.2,0808,-20.71,B8,4.52
110,0630,12.4,0624,13.73,06A5,-0.58,0692,1.53,059C,28.82,0AF2,4276.56,0D33,5157.2,0CF5,5062.58,0CF6,5064.1,0CB0,4957.26,03,13.98,2D,209.75,02,9.32,01,4.66,01,4.66,A4,4.17,0808,-20.71,B8,4.52
120,0639,11.4,061F,14.29,06A6,-0.69,0694,1.3,05A4,27.94,0A98,4139.19,0D8E,5296.09,0D76,5259.46,0CDE,5027.47,0AF8,4285.71,03,13.98,22,158.48,0B,51.27,00,0,01,4.66,A5,4.2,0807,-17.78,B8,4.52
130,0640,10.63,0611,15.84,069E,0.19,0698,0.86,05AF,26.72,0B86,4502.44,0DBE,5369.35,0DCB,5389.19,0CB8,4969.47,09CD,3829.37,03,13.98,0C,55.93,1F,144.49,00,0,01,4.66,A4,4.17,0807,-17.78,B8,4.52
140,0646,9.96,0606,17.06,0695,1.19,069B,0.53,05BA,25.5,0DC5,5380.04,0DAD,5343.41,0DD2,5399.88,0CB7,4967.95,03B1,1442.31,0D,60.59,02,9.32,1F,144.49,00,0,01,4.66,A5,4.2,080D,-35.35,B8,4.52
150,0641,10.51,05FC,18.17,068F,1.86,069C,0.42,05C5,24.27,0DCB,5389.19,0D6D,5245.73,0DA5,5331.2,0CDC,5024.42,03AF,1439.26,29,191.11,00,0,09,41.95,00,0,01,4.66,A4,4.17,080C,-32.43,B8,4.52
160,062D,12.73,05FD,18.06,0692,1.53,069F,0.08,05D2,22.83,0D88,5286.94,0AF8,4285.71,0D2B,5144.99,0D3D,5172.47,0D2E,5149.57,3C,279.67,00,0,01,4.66,00,0,02,9.32,A5,4.2,0809,-23.64,B8,4.52
170,0624,13.73,0604,17.28,0693,1.41,069E,0.19,05D3,22.72,0DB5,5355.62,0A5F,4052.2,0D06,5088.52,0DA0,5323.57,0D78,5262.52,1F,144.49,00,0,01,4.66,0D,60.59,02,9.32,A5,4.2,0809,-23.64,B8,4.52
180,0615,15.4,0611,15.84,0698,0.86,0698,0.86,05CB,23.61,0D1A,5119.05,04E2,1907.81,0CC5,4989.32,0DB1,5349.51,0D90,5299.15,03,13.98,00,0,01,4.66,26,177.12,04,18.64,A5,4.2,0807,-17.78,B8,4.52
190,0616,15.29,061A,14.84,069B,0.53,0690,1.75,05BF,24.94,0BF6,4673.38,038B,1384.31,0CBE,4978.63,0D85,5282.36,0D6F,5248.78,03,13.98,00,0,01,4.66,27,181.78,06,27.97,A5,4.2,0808,-20.71,B8,4.52
200,061E,14.4,0626,13.51,069F,0.08,068A,2.41,05B7,25.83,0B78,4481.07,03B8,1452.99,0BE9,4653.54,0C0A,4703.91,0C13,4717.64,03,13.98,00,0,02,9.32,14,93.22,1C,130.51,A5,4.2,0809,-23.64,B8,4.52
210,0625,13.62,062E,12.62,06A0,-0.03,068A,2.41,05BC,25.27,0AD7,4235.35,0B5E,4441.39,0B6E,4465.81,0B99,4531.44,0A95,4134.62,03,13.98,09,41.95,04,18.64,02,9.32,01,4.66,A4,4.17,07D3,134.49,B8,4.52
220,062C,12.84,0631,12.29,069C,0.42,068D,2.08,05C7,24.05,0B3A,4386.45,0D93,5303.72,0D9B,5315.93,0CA5,4940.48,09DC,3852.26,03,13.98,0E,65.26,21,153.82,00,0,01,4.66,A5,4.2,0815,-58.78,B8,4.52
