Time stamp,Tpy (raw),Tpy (°C),Tpx (raw),Tpx (°C),Tmz (raw),Tmz (°C),Tmx (raw),Tmx (°C),Tpz (raw),Tpz (°C),Vpy (raw),Vpy (mV),Vpx (raw),Vpx (mV),Vmz (raw),Vmz (mV),Vmx (raw),Vmx (mV),Vpz (raw),Vpz (mV),Ipy (raw),Ipy (mA),Ipx (raw),Ipx (mA),Imz (raw),Imz (mA),Imx (raw),Imx (mA),Ipz (raw),Ipz (mA),Vbat (raw),Vbat (V),Ibatt(raw),Ibatt(mA),Tbatt (raw),Tbatt (℃)
0,06CA,-4.69,0675,4.74,0757,-20.34,06FD,-10.35,061D,14.51,0365,1326.31,0D61,5227.41,034A,1285.1,0374,1349.21,0D52,5204.52,03,13.98,2A,195.77,01,4.66,00,0,18,111.87,A4,4.17,0828,-114.42,A2,12.94
10,06CE,-5.13,066E,5.52,0756,-20.23,0701,-10.79,0617,15.17,0365,1326.31,0D75,5257.94,034E,1291.21,036C,1337,0D69,5239.62,03,13.98,32,233.06,01,4.66,00,0,0F,69.92,A4,4.17,0828,-114.42,A2,12.94
20,06CF,-5.24,0661,6.96,0757,-20.34,0704,-11.13,0613,15.62,0365,1326.31,0D46,5186.2,0359,1308,0368,1330.89,0D2D,5148.05,03,13.98,41,302.97,01,4.66,00,0,0D,60.59,A4,4.17,0825,-105.63,A2,12.94
30,06D1,-5.47,0656,8.18,0759,-20.56,0705,-11.24,0614,15.51,0365,1326.31,0D21,5129.73,0365,1326.31,0366,1327.84,0D09,5093.1,03,13.98,46,326.28,01,4.66,00,0,08,37.29,A4,4.17,0825,-105.63,A2,12.94
40,06D2,-5.58,064A,9.52,0759,-20.56,0709,-11.68,0618,15.06,0367,1329.37,0D4A,5192.31,0377,1353.79,0363,1323.26,0CBF,4980.16,02,9.32,3E,288.99,01,4.66,00,0,01,4.66,A4,4.17,0825,-105.63,A2,12.94
50,06D4,-5.8,0641,10.51,0759,-20.56,0709,-11.68,061D,14.51,036B,1335.47,0D4C,5195.36,0ADE,4246.03,0362,1321.73,07CA,3043.35,03,13.98,3E,288.99,01,4.66,00,0,01,4.66,A4,4.17,082A,-120.28,A2,12.94
60,06D6,-6.02,0634,11.96,0759,-20.56,070C,-12.01,0622,13.95,0372,1346.15,0D61,5227.41,0D2F,5151.1,0360,1318.68,051D,1997.86,03,13.98,39,265.68,04,18.64,00,0,01,4.66,A4,4.17,082B,-123.2,A2,12.94
70,06D9,-6.35,0628,13.29,0757,-20.34,070D,-12.12,0626,13.51,0381,1369.05,0D71,5251.83,0D53,5206.04,0360,1318.68,04AE,1828.45,03,13.98,34,242.38,09,41.95,00,0,01,4.66,A4,4.17,082D,-129.06,A2,12.94
80,06DD,-6.8,061B,14.73,0754,-20,070E,-12.24,062D,12.73,03AA,1431.62,0D6E,5247.25,0D4F,5199.94,0360,1318.68,0425,1619.35,03,13.98,37,256.36,08,37.29,00,0,01,4.66,A5,4.2,082D,-129.06,A2,12.94
90,06E0,-7.13,0610,15.95,0752,-19.78,0710,-12.46,0632,12.18,0D36,5161.78,0D59,5215.2,0D2C,5146.52,035F,1317.16,0443,1665.14,06,27.97,37,256.36,03,13.98,00,0,01,4.66,A4,4.17,082B,-123.2,A2,12.94
